pid,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
0,10,8,3,0,4,1
1,18,1,2,6,12,10
2,15,0,2,5,15,0
3,12,0,8,8,14,4
4,10,15,10,2,20,0
5,8,0,3,3,14,3
6,4,1,1,11,9,1
7,4,0,2,5,0,0
8,5,0,2,4,1,0
9,8,0,10,10,8,0
10,12,0,3,14,11,4
11,1,1,3,2,4,2
12,6,0,0,0,18,0
13,16,6,7,4,17,4
14,6,9,3,12,5,11
15,16,0,0,2,4,2
16,13,0,3,6,16,14
17,1,0,5,4,6,5
18,1,0,4,1,10,0
19,7,1,1,0,13,1
20,3,2,3,3,7,2
21,12,6,10,0,12,1
22,3,2,3,1,13,1
23,13,1,3,1,13,2
24,14,15,6,11,12,18
25,14,3,1,0,10,2
26,3,4,2,8,6,10
27,2,1,1,4,1,1
28,1,0,4,15,16,2
29,4,1,1,0,7,2
30,5,1,6,5,3,3
31,10,1,1,1,15,1
32,20,1,3,16,18,1
33,9,2,1,10,11,17
34,5,0,0,0,10,0
35,6,3,3,5,5,3
36,0,0,0,0,20,0
37,5,1,1,10,5,1
38,13,1,10,2,2,2
39,16,14,10,6,12,8
40,3,0,2,0,8,0
41,14,1,10,14,15,12
42,0,0,0,4,20,0
43,12,1,2,0,17,1
44,1,1,10,0,20,1
45,2,1,1,5,6,1
46,6,2,5,5,1,1
47,9,0,0,4,11,2
48,10,4,10,5,15,4
49,8,1,1,11,14,13
50,10,5,12,5,10,17
51,5,0,0,2,5,3
52,20,20,14,7,12,13
53,17,1,1,1,11,3
54,2,1,10,8,11,6
55,1,2,3,0,18,3
56,5,0,0,0,5,0
57,15,0,2,3,15,1
58,4,2,4,0,6,0
59,12,1,4,0,7,2
60,9,3,1,3,14,13
61,7,0,10,6,12,1
62,2,0,7,5,11,5
63,13,14,1,0,1,1
64,14,1,0,9,14,6
65,14,1,3,10,13,10
66,0,0,1,0,0,0
67,6,1,1,6,13,8
68,5,5,1,12,9,1
69,4,1,2,0,11,1
70,17,2,0,2,19,0
71,3,3,4,1,19,4
72,1,6,1,0,20,0
73,4,1,5,6,2,5
74,3,2,2,0,6,1
75,0,0,0,3,16,0
76,0,0,0,11,1,1
77,13,1,3,3,15,1
78,1,1,1,6,3,1
79,5,2,6,5,10,1
80,12,1,10,4,11,1
81,12,7,1,0,13,1
82,1,0,0,0,1,0
83,0,0,0,10,0,0
84,12,0,2,0,8,0
85,8,1,2,2,4,2
86,2,5,1,13,12,1
87,1,1,20,0,11,1
88,3,1,1,0,2,0
89,4,2,0,0,4,0
90,11,2,0,2,16,14
91,4,0,3,0,10,1
92,8,1,8,6,10,6
93,4,1,6,2,14,1
94,7,0,1,5,12,9
95,15,1,1,5,13,1
96,15,10,3,4,10,0
97,11,0,2,0,7,5
98,1,4,1,0,1,1
99,14,1,1,0,7,2
